DEBUG - 2023-07-07 00:49:10,418: Начинаем работу... читаем словарь.
DEBUG - 2023-07-07 00:49:10,418: Открыли файл data.json на чтение и прочитали словарь:
{'3': {'4': 'Den', '3': 'Igor', '21': 'Vlad', '7': 'Nic'}, '2': {'5': 'Joe', '33': 'Ira', '8': 'Ivan'}, '5': {'4': 'Peter', '6': 'Nic'}, '6': {'13': 'Serge'}, '1': {'12': 'Denis', '25': 'Semen'}} 
DEBUG - 2023-07-07 00:49:10,419: Инициализировали нового User Den, его id = 4, его уровень 3
DEBUG - 2023-07-07 00:49:10,419: Инициализировали нового User Igor, его id = 3, его уровень 3
DEBUG - 2023-07-07 00:49:10,419: Инициализировали нового User Vlad, его id = 21, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Nic, его id = 7, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Joe, его id = 5, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Ira, его id = 33, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Ivan, его id = 8, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Peter, его id = 4, его уровень 5
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Nic, его id = 6, его уровень 5
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Serge, его id = 13, его уровень 6
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Denis, его id = 12, его уровень 1
DEBUG - 2023-07-07 00:49:10,425: Инициализировали нового User Semen, его id = 25, его уровень 1
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Den, его id = 4, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Igor, его id = 3, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Vlad, его id = 21, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Nic, его id = 7, его уровень 3
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Joe, его id = 5, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Ira, его id = 33, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Ivan, его id = 8, его уровень 2
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Peter, его id = 4, его уровень 5
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Nic, его id = 6, его уровень 5
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Serge, его id = 13, его уровень 6
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Denis, его id = 12, его уровень 1
DEBUG - 2023-07-07 00:49:10,425: Вывод пользователья Semen, его id = 25, его уровень 1
